Name,URL
183.BJ’s Restaurant & Brewhouse,/biz/bjs-restaurant-and-brewhouse-vienna-2?osq=Minority+Owned
184.Amma Vegetarian Kitchen,/biz/amma-vegetarian-kitchen-vienna?osq=Minority+Owned
185.The Halal Guys,/biz/the-halal-guys-vienna?osq=Minority+Owned
186.Vienna Inn,/biz/vienna-inn-vienna?osq=Minority+Owned
187.Panera Bread,/biz/panera-bread-fairfax?osq=Minority+Owned
188.Los Toltecos,/biz/los-toltecos-fairfax-station?osq=Minority+Owned
189.Bazin’s on Church,/biz/bazins-on-church-vienna?osq=Minority+Owned
190.Lost Dog Cafe - Dunn Loring,/biz/lost-dog-cafe-dunn-loring-fairfax?osq=Minority+Owned
201.China Express,/biz/china-express-vienna?osq=Minority+Owned
202.Greenhouse Bistro,/biz/greenhouse-bistro-vienna-2?osq=Minority+Owned
203.Lebanese Taverna,/biz/lebanese-taverna-mclean?osq=Minority+Owned
204.Phoenicia Resto & Lounge,/biz/phoenicia-resto-and-lounge-vienna?osq=Minority+Owned
205.Bombay Tandoor,/biz/bombay-tandoor-vienna?osq=Minority+Owned
206.Kilroy’s,/biz/kilroys-springfield-2?osq=Minority+Owned
207.The Cheesecake Factory,/biz/the-cheesecake-factory-mclean-4?osq=Minority+Owned
208.Food Corner Kabob House,/biz/food-corner-kabob-house-vienna?osq=Minority+Owned
209.Wildfire,/biz/wildfire-mclean-12?osq=Minority+Owned
210.Lotus Garden,/biz/lotus-garden-vienna?osq=Minority+Owned
221.Viet Aroma,/biz/viet-aroma-vienna?osq=Minority+Owned
222.Grill Kabob,/biz/grill-kabob-mclean-2?osq=Minority+Owned
223.P.F. Chang’s,/biz/p-f-changs-mclean?osq=Minority+Owned
224.IHOP,/biz/ihop-burke?osq=Minority+Owned
225.BGR Burgers Grilled Right,/biz/bgr-burgers-grilled-right-springfield?osq=Minority+Owned
226.China Town Carryout,/biz/china-town-carryout-burke?osq=Minority+Owned
227.McDonald’s,/biz/mcdonalds-vienna-2?osq=Minority+Owned
228.McDonald’s,/biz/mcdonalds-springfield-30?osq=Minority+Owned
